Date,Index,Cow ,Breed,DIM,Weight1,Weight2,Lactno,FAT1,FAT2,PRO1,PRO2,LAC1,LAC2,SCC1,SCC2,MY1,MY2,COND1,COND2,Activity1,Activity2,RestTime,RestDur,RestBout
14/11/2017,1,1420,,,,,,4.55,4.36,3.72,3.68,4.58,4.63,0-200  ,0-200  ,16.8,20.6,11.1,11.2,102,141,818,84,13
14/11/2017,2,1482,,,,,,4.21,4.36,3.41,3.42,4.73,4.68,0-200  ,0-200  ,33.1,29.8,9.8,9.8,60,79,914,82,14
14/11/2017,3,1497,,,,,,3.97,4.63,3.79,3.47,4.88,4.76,0-200  ,0-200  ,19.5,13.9,9.5,9.3,72,98,908,84,10
14/11/2017,4,1528,,,,,,3.42,4.18,3.26,3.36,4.98,4.8,0-200  ,0-200  ,57,41.8,9.2,8.8,68,97,782,64,12
14/11/2017,5,1530,,,,,,3.73,4.05,3.64,3.81,4.84,4.53,--     ,--     ,82.1,62.1,8.5,8.1,110,118,650,68,9
14/11/2017,6,1555,,,,,,4.05,5.13,3.14,3.6,4.46,4.75,400-800,--     ,34.5,33,9.2,8.6,74,110,830,78,14
14/11/2017,7,1568,,,,,,4.68,4.45,3.7,3.6,4.86,5.09,0-200  ,0-200  ,16.8,15,11.9,12.3,76,116,803,95,10
14/11/2017,8,1570,,,,,,4.21,4.34,3.56,3.38,4.66,4.82,200-400,--     ,45.5,36.9,9.7,9.4,107,144,569,77,9
14/11/2017,9,1576,,,,,,3.81,4.46,3.51,3.16,4.84,4.59,0-200  ,400-800,47.7,46.1,9.5,9.3,78,85,755,92,8
14/11/2017,10,1588,,,,,,4.22,4.08,3.14,2.96,4.76,4.81,0-200  ,--     ,49.4,45.3,8.8,8.8,101,139,512,76,11
14/11/2017,11,1592,,,,,,4.13,4.93,3.33,3.68,4.68,4.59,200-400,0-200  ,22.6,19.8,10.5,9.9,134,119,848,100,8
14/11/2017,12,1596,,,,,,3.53,4.36,3.55,3.49,4.37,4.42,200-400,400-800,49.1,39.5,10.2,10.3,99,96,800,75,10
14/11/2017,13,1597,,,,,,5.05,5.42,3.31,3.34,4.72,4.63,200-400,400-800,37.5,32.6,9.3,12.5,98,135,707,66,12
14/11/2017,14,1604,,,,,,3.86,4.42,2.92,3.26,4.59,4.49,0-200  ,200-400,44.8,41.8,8.8,8.9,71,81,701,111,7
14/11/2017,15,1606,,,,,,3.83,4.18,3.99,3.59,5.09,4.71,0-200  ,--     ,48.5,38.5,8.8,9,71,81,602,71,10
14/11/2017,16,1615,,,,,,4.04,4.76,3.42,3.44,4.79,4.75,--     ,0-200  ,58,43.8,8,8.1,94,84,896,76,11
14/11/2017,17,1618,,,,,,4.33,4.56,3.5,3.51,4.88,4.8,0-200  ,--     ,43.8,41,9.8,8.8,78,88,542,95,8
14/11/2017,18,1619,,,,,,4.56,5.04,3.71,3.6,4.65,4.83,--     ,--     ,34.9,27.7,8.8,8.8,135,202,1007,58,15
14/11/2017,19,1621,,,,,,3.69,4.76,3.5,3.15,4.63,4.68,--     ,--     ,36.4,34.6,9.3,8.8,98,142,578,85,9
14/11/2017,20,1627,,,,,,2.73,3.91,3.54,3.23,4.33,4.79,--     ,--     ,52.5,45.9,9.9,10.5,92,134,776,56,19
14/11/2017,21,1632,,,,,,3.9,4.29,3.81,3.73,4.51,4.51,--     ,--     ,21.1,20.9,9.3,11.6,99,121,896,72,11
14/11/2017,22,1635,,,,,,3.46,3.96,3.33,3.56,4.84,4.88,0-200  ,0-200  ,46.9,47.8,8.9,8.8,93,111,479,78,9
14/11/2017,23,1637,,,,,,4.46,5,3.39,3.27,4.74,4.8,200-400,--     ,37.4,27.8,9.5,9.3,86,82,884,93,10
14/11/2017,24,1638,,,,,,3.61,4.61,3.67,3.54,5.22,4.73,0-200  ,--     ,65,52.6,8.5,8.1,90,95,491,71,7
14/11/2017,25,1643,,,,,,4.53,5.33,3.68,3.73,4.76,4.57,--     ,200-400,43.8,42.6,8.4,9.8,151,159,782,68,11
14/11/2017,26,1644,,,,,,3.86,4.4,2.86,3,4.68,4.76,200-400,--     ,54.9,37.4,9,8.5,111,176,581,99,10
14/11/2017,27,1648,,,,,,4.15,4.68,3.19,3.59,4.66,4.59,0-200  ,--     ,55.9,41.2,8.5,8.6,119,141,671,58,14
14/11/2017,28,1649,,,,,,4.01,4.38,3.79,3.33,4.97,4.72,0-200  ,0-200  ,59.8,50.2,8.8,8.4,63,84,827,80,9
